web-scraper-order,web-scraper-start-url,reparto,reparto-href,title,price
"1525363263-351","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cartoleria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/cartoleria/c/20099","Fabriano Disegno FA/2 blocco 20 fogli riquadrati 24x33 cm liscio","€ 2,99"
"1525363376-1041","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cereali colazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/cereali-colazione/c/20023","Misura Natura Ricca Cereali Antichi Quinoa, Farro e Grano Saraceno 350 g","€ 3,49"
"1525363410-1243","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta fresca non ripiena","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/pasta-fresca-non-ripiena/c/20043","Giovanni Rana Gnocchetti Freschi di Patate 200 g","€ 0,97"
"1525363444-1479","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Verdura pronta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/verdura-pronta/c/20040","IL GIGANTE Lavata e pronta Steli Gustosi 200 g","€ 1,58"
"1525363440-1452","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi da banco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-da-banco/c/20107","Mortadella Bolgna IGP LA BLU CON PISTACCHI","12,90 €/KG"
"1525363291-531","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Igiene personale e deodoranti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/igiene-personale-e-deodoranti/c/20031","Nivea intimo Natural Comfort 250 ml","€ 2,34 (-50%)"
"1525363414-1275","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Piatti pronti confezionati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/piatti-pronti-confezionati/c/20045","IL GIGANTE Insalata capricciosa 200 g","€ 1,68"
"1525363436-1419","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi interi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-interi/c/20084","Fratelli Beretta SalaMini Piccante 85 g","€ 1,99"
"1525363412-1263","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta fresca ripiena","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/pasta-fresca-ripiena/c/20044","BUITONI RIPIENI SFIZIOSI RAVIOLI GORGONZOLA E SPECK pasta fresca all'uovo 230g","€ 1,97"
"1525363425-1347","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Altri formaggi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/altri-formaggi/c/20079","Galbani Dolcelatte Gorgonzola Dolce DOP 150 g","€ 2,58"
"1525363269-388","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pulizia stoviglie","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/pulizia-stoviglie/c/20101","finish All in 1 Max Power Gel Limone Sgrassante 650 ml","€ 5,98 (-50%)"
"1525363300-560","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti e accessori per altri animali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/amici-animali/alimenti-e-accessori-per-altri-animali/c/20002","Vitakraft Mangime completo per pappagallini 850 g","€ 1,99"
"1525363376-1044","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cereali colazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/cereali-colazione/c/20023","Kellogg's Special K Frutti Rossi 325 g","null"
"1525363423-1340","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Mozzarelle","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/mozzarelle/c/20083","IL GIGANTE Mozzarella 125 g","€ 0,88"
"1525363423-1339","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Mozzarelle","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/mozzarelle/c/20083","Mandara Mozzarella di latte di Bufala 200 g brik","€ 3,19"
"1525363412-1260","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta fresca ripiena","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/pasta-fresca-ripiena/c/20044","BUITONI SENZA GLUTINE TORTELLONI RICOTTA E SPINACI pasta fresca all'uovo senza glutine 250g","€ 4,79"
"1525363337-779","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasticceria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pane-e-pasticceria/pasticceria/c/20061","TRANCIO BROWNIES CIOCCOLATO- PRODOTTO DOLCIARIO DA FORNO-","17,90 €/KG"
"1525363289-513","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carta igienica, assorbenti, cotone","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/carta-igienica,-assorbenti,-cotone/c/20026","Lines Seta Ultra Notte con Ali 20 pz","€ 4,70"
"1525363436-1430","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi interi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-interi/c/20084","Moser Speck Alto Adige IGP 0,400 kg","€ 5,98"
"1525363358-928","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pelati, passate e sughi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/pelati,-passate-e-sughi/c/20071","Star Il Mio Gran Ragù Classico 2 x 180 g","€ 2,79 (-20%)"
"1525363326-709","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pizza e torte salate","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/pizza-e-torte-salate/c/20053","cameo Pizza Regina Alta Würstel 395 g","€ 3,56"
"1525363382-1085","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pesce fresco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pesce/pesce-fresco/c/20064","ORATA NAZIONALE 600-800 EVISCERATA","16,70 €/KG (-20%)"
"1525363408-1233","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Condimenti freschi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/condimenti-freschi/c/20041","Delicatesse Paté di Vitello 200 g","€ 3,89"
"1525363436-1420","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi interi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-interi/c/20084","Fratelli Beretta SalaMini Classico 85 g","€ 1,99"
"1525363269-387","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pulizia stoviglie","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/pulizia-stoviglie/c/20101","Finish Tutto in 1 Max Powergel 650 ml","€ 5,98 (-50%)"
"1525363401-1179","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Uova","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/uova/c/20058","Granarolo 6 Uova Medie Fresche da allevamento all'Aperto","€ 2,29 (-20%)"
"1525363282-472","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cosmetica","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/cosmetica/c/20027","Aqua Massage Viso Levatrucco","€ 1,13"
"1525363360-945","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Farine e polenta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/farine-e-polenta/c/20069","Barilla Farina Tipo ""00"" di Grano Tenero 1000 g","€ 0,85"
"1525363393-1129","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne suina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/carne/carne-suina/c/20016","TAGLIATA DI SUINO","10,50 €/KG"
"1525363363-953","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta e riso","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/pasta-e-riso/c/20070","IL GIGANTE Mezze penne rigate n.176 500 g","€ 0,62"
"1525363341-818","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Olio","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/olio/c/20111","Sasso Olio di oliva 1 L","€ 5,49"
"1525363282-470","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cosmetica","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/cosmetica/c/20027","Nivea 2in1 latte detergente + tonico tutti i tipi di pelle 250 ml","€ 4,45"
"1525363265-362","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Tessile","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/tessile/c/20102","TOVAGLIETTA GRIGIO IN COTONE 43x30 cm","€ 2,39"
"1525363438-1441","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Affettati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/affettati/c/20078","Negroni Mortadella Riserva 100 g","€ 2,95"
"1525363304-568","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti per gatti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/amici-animali/alimenti-per-gatti/c/20004","PURINA GOURMET Perle Gatto Duetti con carni delicate con vitello e anatra busta 85g","€ 0,54"
"1525363434-1407","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi a cubetti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-a-cubetti/c/20085","Negroni Petto di Pollo in Cubetti 100 g","€ 1,58 (-30%)"
"1525363406-1210","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Latte e panna","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/latte-e-panna/c/20057","müller Milk Shock cioccolato 429 g","€ 1,29"
"1525363432-1395","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Wurstel e altri precotti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/wurstel-e-altri-precotti/c/20086","Natura Nuova bio Wurstel Vegetali con Farro e Soia 190 g","€ 2,69"
"1525363434-1416","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi a cubetti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-a-cubetti/c/20085","Cipressi in Chianti Guanciale per amatriciana 120 g","€ 4,90"
"1525363438-1439","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Affettati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/affettati/c/20078","Negroni Negronetto 75 g","€ 1,93"
"1525363401-1178","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Uova","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/uova/c/20058","Aia 6 uova fresche Oro Natura Grandi","€ 1,69"
"1525363254-307","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Aria aperta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tempo-libero/aria-aperta/c/20087","ACCENDIFUOCO FIAMMIFERO ECOLOGICO PER CAMINI, STUFE E BBQ","€ 2,80"
"1525363444-1470","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Verdura pronta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/verdura-pronta/c/20040","Cottin tavola Cipolline Grigliate 250 g","€ 2,79"
"1525363267-372","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Accessori cucina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/accessori-cucina/c/20096","IL GIGANTE Asciuga Tutto Triplo Strato 3 rotoli","€ 1,99"
"1525363343-834","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti vegetali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/alimenti-vegetali/c/20077","Granarolo 100% Vegetale Seitan Bio al Naturale 125 g","€ 2,04"
"1525363271-401","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bucato","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/bucato/c/20098","Omino Bianco Bianco Vivo 1000 ml","€ 3,99"
"1525363263-360","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cartoleria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/cartoleria/c/20099","UHU Stic 8 x 8,2 g","€ 6,80"
"1525363307-582","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti per cani","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/amici-animali/alimenti-per-cani/c/20003","PURINA ADVENTUROS Cane Nuggets Snack Cane al gusto cinghiale Busta 90 g","€ 1,25"
"1525363373-1034","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Biscotti, merendine e snack dolci","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/biscotti,-merendine-e-snack-dolci/c/20022","Kellogg's Special K Biscuit Moments Cioccolato 5 x 25 g","€ 1,61"
"1525363358-933","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pelati, passate e sughi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/pelati,-passate-e-sughi/c/20071","IL GIGANTE Polpa Fine di Pomodoro 2 x 210 g","€ 0,98"
"1525363388-1099","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne ovina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/carne/carne-ovina/c/20014","COSCIA D'AGNELLONE IGP EXTREMADURA CORDEREX","9,80 €/KG (-24%)"
"1525363399-1172","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Yogurt","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/yogurt/c/20059","Fattoria Scaldasole Yogurt Biologico Magro Mirtilli Neri Senza Lattosio° 2 x 115 g","€ 1,79"
"1525363258-316","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bricolage","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tempo-libero/bricolage/c/20089","LED OLIVA SMERIGLIATA E14 40W","€ 5,90"
"1525363354-898","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Sottoli, sottaceti, frutta e verdura conservata","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/sottoli,-sottaceti,-frutta-e-verdura-conservata/c/20075","Sunsweet Prugne California premium denocciolate 250 g","€ 3,15"
"1525363429-1382","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Formaggi da banco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/formaggi-da-banco/c/20108","FORMAGGIO TOMINO DEL BOSCAIOLO","9,70 €/KG (-30%)"
"1525363320-682","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bibite e succhi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/bibite-e-succhi/c/20009","Coca-Cola senza caffeina bottiglia di plastica da 1,5 l","null"
"1525363311-610","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimentazione bambini","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-il-bambino/alimentazione-bambini/c/20094","Mellin 2 Latte di Proseguimento Liquido 4 x 500 ml","€ 5,39"
"1525363326-708","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pizza e torte salate","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/pizza-e-torte-salate/c/20053","Italpizza 26x38 Prosciutto e Funghi Surgelata 545 g","€ 4,34"
"1525363263-357","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cartoleria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/cartoleria/c/20099","2 penne sfera noris rosse","€ 2,30"
"1525363343-828","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti vegetali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/alimenti-vegetali/c/20077","verys Verde di Riso con alghe Nori e Ulva 200 g","€ 3,99"
"1525363444-1474","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Verdura pronta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/verdura-pronta/c/20040","IL GIGANTE Lavata e pronta Lattughino 200 g","€ 1,96"
"1525363286-502","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cura dei capelli","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/cura-dei-capelli/c/20028","Palette oleo intense 4-60 Castano Dorato","€ 5,70"
"1525363403-1201","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Burro e condimenti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/burro-e-condimenti/c/20055","Burro Formato Casalingo 250 g","€ 2,99"
"1525363317-655","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Birre","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/birre/c/20010","Corona Extra bottiglia 355 ml","€ 1,21"
"1525363350-867","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Condimenti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/condimenti/c/20068","Maya Olio di Semi di Mais Vitaminizzato 1 l","€ 2,99"
"1525363261-342","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Giardinaggio","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tempo-libero/giardinaggio/c/20090","3 IN 1 - INSETTICIDA, ACARICIDA, FUNGICIDA PRONTO ALL'USO. AZIONE RAPIDA E PROLUNGATA","€ 14,90"
"1525363347-858","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Snack salati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/snack-salati/c/20074","Popz Microwave popcorn cheese flavour 3 x 100 g","€ 2,79"
"1525363337-778","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasticceria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pane-e-pasticceria/pasticceria/c/20061","TORTA DELIZIA DI MELE -PRODOTTO DOLCIARIO DA FORNO -","15,90 €/KG"
